"","tree_height","x","y","clay","annual_precip","wind_speed","solar_radiation","temperature_average","water_vapor","predicted_height","growth_rate"
"1",17.4672832489014,131.25,-11.25,13.9360551834106,1523,2.61266660690308,20406.416015625,27.4063339233398,2.74553346633911,1.35013546259461,0.26923547
"2",16.8619041442871,132.25,-11.25,10.4207983016968,1339,3.09122800827026,20075.583984375,27.5100879669189,2.76276326179504,1.27717483426895,0.25803171
"3",14.28125,142.25,-11.25,13.8754043579102,1725,3.75933337211609,19403.666015625,26.4616661071777,2.58773326873779,1.29414240997187,0.28153525
"4",14.3111114501953,142.75,-11.25,8.96078968048096,1739,4.27666664123535,19542,26.3549995422363,2.6778998374939,1.34548736914786,0.28238771
"5",19.9249992370605,130.75,-11.75,15.6534566879272,1715,2.82500004768372,20178.416015625,27.2136669158936,2.61133337020874,1.31896952353981,0.28092635
"6",17.8884620666504,132.75,-11.75,18.7023239135742,1355,2.55033326148987,20538.333984375,27.5286674499512,2.61333346366882,1.28782538107015,0.25900595
"7",15.1822576522827,133.25,-11.75,20.4397354125977,1278,2.78900003433228,20572.333984375,27.5993328094482,2.6558666229248,1.26897652103048,0.25431742
"8",19.4392852783203,142.25,-11.75,16.1917133331299,1751,4.04199981689453,19701.75,26.4300003051758,2.56559991836548,1.27715109291807,0.28311839
"9",15.502272605896,142.75,-11.75,7.95240688323975,1742,4.22300004959106,19791.583984375,26.1073322296143,2.60033345222473,1.29662318932716,0.28257038
"10",13.5982141494751,131.25,-12.25,27.1412124633789,1473,2.98888897895813,20656.416015625,27.2222213745117,2.55190467834473,1.29626679021914,0.26619097
"11",17.4440670013428,132.25,-12.25,31.8040409088135,1405,2.84466671943665,20763.666015625,27.4890003204346,2.53090000152588,1.27501863140242,0.26205045
"12",17.4136371612549,132.75,-12.25,47.4698677062988,1446,2.56900000572205,20768.25,27.4850006103516,2.51349997520447,1.24088949134989,0.26454694
"13",13.5379314422607,133.25,-12.25,14.7006940841675,1394,1.8806666135788,20748.583984375,27.650333404541,2.37623333930969,1.33534597096599,0.26138066
"14",15.1166667938232,133.75,-12.25,9.91813564300537,1302,2.02466654777527,20649.916015625,27.2733345031738,2.40043330192566,1.29288916718988,0.25577878
"15",16.0717945098877,134.25,-12.25,26.9072437286377,1220,2.42233324050903,20633,27.5223331451416,2.56193327903748,1.20606437112571,0.2507858
"16",14.6215114593506,134.75,-12.25,10.3998823165894,1175,2.41766667366028,20637.083984375,26.8443336486816,2.55529999732971,1.28120836351052,0.24804575
"17",15.4794120788574,135.25,-12.25,10.5266780853271,1252,3.20543479919434,20540,26.8652172088623,2.61717391014099,1.20375755565024,0.25273428
"18",17.375,141.75,-12.25,15.8605709075928,1780,3.66233348846436,20229.5,26.125,2.56060004234314,1.25716757120193,0.2848842
"19",18.281665802002,142.25,-12.25,17.5265235900879,1801,3.27333331108093,19919.5,26.1536674499512,2.43610000610352,1.28606348943316,0.28616289
